ASN,Report count,Organization
16509,8792674,Amazon.com
136907,3779317,Huawei Cloud Global
398324,2442587,Censys
6939,1868110,Hurricane Electric
14618,1763429,Amazon AES
45102,1670513,Alibaba
8075,1564379,Microsoft
14061,1525110,DigitalOcean
135377,1522180,UCloud Information Technology (HK) Limited
396982,1494101,Google Cloud
211298,1319830,Driftnet Ltd
213412,1177010,ONYPHE SAS
51396,933166,Pfcloud UG
55990,916560,Huawei Cloud(China)
16276,900022,OVHcloud
398705,752463,Censys Inc.
13335,740769,Cloudflare
45899,653899,VNPT
4134,519843,China Telecom
132203,511669,Tencent Global
63949,448405,Linode AS63949
50360,446858,4vendeta
211736,445374,FOP Dmytro Nedilskyi
202425,399446,IP Volume
4837,360327,China Unicom
36183,340722,Akamai Technologies Inc.
398722,318559,Censys Inc.
36352,310480,ColoCrossing
201814,288565,Mevspace
174,284935,Cogent Communications Inc.
906,281732,DMIT Cloud Infrastructure
21859,275494,Zenlayer Inc
24940,273992,Hetzner Online
215925,266595,VPSVAULTHOST
55960,263336,Beijing Guanghuan Xinwang Digital
9829,255147,National Internet Backbone India
9808,229533,China Mobile Communications Group Co. Ltd.
47890,224897,UNMANAGED LTD
214295,221625,SKYNET NETWORK LTD
207812,216992,DM AUTO EOOD
49870,212021,Alsycon AS49870
32934,211072,Meta
37963,203613,Alibaba (China)
13238,199841,Yandex
212512,199222,Detai Prosperous Technologies Limited
401120,192849,
2200,183847,RENATER
51167,150844,Contabo
20052,148145,ARBOR
135629,145867,Ningxia West Cloud Data Technology Co.Ltd.
4766,145386,KT Corporation (Korea Telecom)
209605,140687,UAB Host Baltic
10439,138344,CARI.net - Fiber Alley Data Centers
45090,137050,Tencent-CN
3462,123714,HiNet
49581,123483,Tube-Hosting
139341,118148,ACE CDN
52055,116984,
12389,114931,Rostelecom
34224,112952,Neterra
12876,102284,Scaleway
9009,100859,M247 Global
211680,98778,NSEC - Sistemas Informaticos S.A.
213438,95422,colocatel-inc
48090,95343,TECHOFF SRV LIMITED
3320,95246,Deutsche Telekom
206264,91886,Amarutu Technology Ltd.
138997,91596,Eons Data
52053,91540,REDHEBERG SAS
7922,88887,Comcast
12989,86253,BlackHOST
7713,85428,Telekomunikasi Indonesia Int (TELIN)
58461,84690,CT-HangZhou-IDC
19318,83348,InterServer
60223,80789,
214943,79160,
50719,76043,XINON
401116,72855,
15169,71711,Google LLC
4,71522,University of Southern California - AS4
62563,68143,GTHost Canada
211607,67779,Securitytrails LLC
8151,67397,Uninet S.A. de C.V.
8551,63199,Bezeq International
9121,62652,Turk Telekom
12880,62110,TIC AS12880
4812,61755,China Telecom (Group)
150436,61460,Byteplus Pte. Ltd.
23969,60303,NT Broadband ISP
58466,60091,CHINANET Guangdong province network
8452,59480,Telecom Egypt
210558,58406,1337 Services GmbH
7552,56932,Viettel
209290,56616,
9465,56042,AGOTOZ PTE. LTD.
208191,55278,
12145,53419,Colorado State University
51852,52489,Phase Layer Global Networks
36530,51674,FUTURE-LAIN
24429,49597,Alibaba Cloud CDN
