ASN,Report count,Organization
16509,8787590,Amazon.com
136907,3779283,Huawei Cloud Global
398324,2442587,Censys
6939,1855414,Hurricane Electric
14618,1760368,Amazon AES
45102,1662434,Alibaba
8075,1548677,Microsoft
14061,1516765,DigitalOcean
135377,1509899,UCloud Information Technology (HK) Limited
396982,1492496,Google Cloud
211298,1313842,Driftnet Ltd
213412,1173085,ONYPHE SAS
51396,918778,Pfcloud UG
55990,916526,Huawei Cloud(China)
16276,898074,OVHcloud
398705,749974,Censys Inc.
13335,739977,Cloudflare
45899,653570,VNPT
4134,517653,China Telecom
132203,511153,Tencent Global
50360,446805,4vendeta
63949,446450,Linode AS63949
211736,445371,FOP Dmytro Nedilskyi
202425,396874,IP Volume
4837,359017,China Unicom
36183,340722,Akamai Technologies Inc.
398722,316466,Censys Inc.
36352,310303,ColoCrossing
201814,288535,Mevspace
174,283223,Cogent Communications Inc.
906,281725,DMIT Cloud Infrastructure
21859,275284,Zenlayer Inc
24940,273355,Hetzner Online
215925,266568,VPSVAULTHOST
55960,263173,Beijing Guanghuan Xinwang Digital
9829,255041,National Internet Backbone India
9808,228808,China Mobile Communications Group Co. Ltd.
47890,224203,UNMANAGED LTD
214295,221625,SKYNET NETWORK LTD
207812,216992,DM AUTO EOOD
32934,211062,Meta
49870,210559,Alsycon AS49870
37963,203038,Alibaba (China)
13238,199837,Yandex
212512,197723,Detai Prosperous Technologies Limited
401120,192849,
2200,183847,RENATER
51167,149999,Contabo
20052,147300,ARBOR
135629,145851,Ningxia West Cloud Data Technology Co.Ltd.
4766,144672,KT Corporation (Korea Telecom)
209605,140329,UAB Host Baltic
10439,137602,CARI.net - Fiber Alley Data Centers
45090,136962,Tencent-CN
49581,123407,Tube-Hosting
3462,122888,HiNet
139341,118145,ACE CDN
12389,114448,Rostelecom
34224,108024,Neterra
52055,104391,
12876,102066,Scaleway
211680,98621,NSEC - Sistemas Informaticos S.A.
9009,97125,M247 Global
213438,95362,colocatel-inc
3320,95197,Deutsche Telekom
48090,93209,TECHOFF SRV LIMITED
138997,91596,Eons Data
52053,91540,REDHEBERG SAS
206264,90196,Amarutu Technology Ltd.
12989,85771,BlackHOST
7713,84946,Telekomunikasi Indonesia Int (TELIN)
58461,84667,CT-HangZhou-IDC
19318,83334,InterServer
7922,81757,Comcast
60223,80789,Netiface
214943,79160,
50719,76043,XINON
401116,72855,
4,71522,University of Southern California - AS4
15169,71330,Google LLC
62563,68142,GTHost Canada
211607,67300,Securitytrails LLC
8151,67039,Uninet S.A. de C.V.
8551,63185,Bezeq International
9121,62390,Turk Telekom
12880,62110,TIC AS12880
4812,61554,China Telecom (Group)
150436,60833,Byteplus Pte. Ltd.
23969,60179,NT Broadband ISP
58466,60079,CHINANET Guangdong province network
8452,59159,Telecom Egypt
210558,58082,1337 Services GmbH
209290,56616,
7552,56563,Viettel
9465,55984,AGOTOZ PTE. LTD.
208191,55084,
12145,53418,Colorado State University
51852,52164,Phase Layer Global Networks
36530,51673,FUTURE-LAIN
24429,49597,Alibaba Cloud CDN
