Network,Report count
216.73.216.0/24,2983140
193.163.125.0/24,1034111
162.142.125.0/24,889171
167.94.138.0/24,669058
206.168.34.0/24,537626
65.49.1.0/24,475389
64.62.156.0/24,457329
167.94.146.0/24,425471
64.62.197.0/24,424735
91.196.152.0/24,354641
176.65.148.0/24,341671
167.94.145.0/24,315896
91.231.89.0/24,301020
195.184.76.0/24,297237
199.45.154.0/24,279251
204.76.203.0/24,266830
198.235.24.0/24,249422
147.185.132.0/24,246634
92.63.197.0/24,238446
205.210.31.0/24,222143
79.124.62.0/24,216992
45.142.193.0/24,214889
91.230.168.0/24,207963
66.132.153.0/24,200494
134.209.173.0/24,184916
2001:660:4208:100::/56,182804
147.185.133.0/24,180777
87.120.191.0/24,157047
176.65.149.0/24,152975
207.90.244.0/24,130972
89.248.163.0/24,122784
78.128.114.0/24,119631
144.76.239.0/24,119475
146.88.241.0/24,119276
83.222.191.0/24,118970
47.238.13.0/24,116785
87.121.84.0/24,107404
185.242.226.0/24,105155
65.49.20.0/24,103005
45.82.76.0/24,102724
88.210.63.0/24,101657
185.156.73.0/24,100789
184.105.247.0/24,99451
162.216.150.0/24,98409
66.132.148.0/24,97663
162.216.149.0/24,97515
35.203.211.0/24,97404
35.203.210.0/24,96029
2.57.122.0/24,95646
45.95.147.0/24,95007
162.128.163.0/24,91150
79.124.40.0/24,90068
88.218.193.0/24,89947
100.29.192.0/24,87550
170.39.218.0/24,87534
83.222.190.0/24,85864
104.28.98.0/24,85815
79.124.49.0/24,84397
86.54.31.0/24,82138
216.218.206.0/24,81906
74.82.47.0/24,81104
85.217.140.0/24,80559
184.105.139.0/24,80027
47.82.13.0/24,77861
47.82.14.0/24,77752
115.231.78.0/24,76181
5.206.204.0/24,75771
85.217.149.0/24,75397
109.205.213.0/24,74496
162.128.159.0/24,73790
47.82.15.0/24,73207
57.129.81.0/24,72455
95.214.53.0/24,69080
91.224.92.0/24,68735
23.95.197.0/24,68491
103.102.230.0/24,67998
104.28.130.0/24,67529
185.224.128.0/24,64428
79.124.58.0/24,64176
104.28.62.0/24,63799
2.189.5.0/24,62092
47.79.51.0/24,60853
185.91.127.0/24,60712
31.168.173.0/24,60676
213.209.143.0/24,60666
95.214.55.0/24,59286
216.180.246.0/24,57477
128.9.29.0/24,54937
165.154.41.0/24,54862
178.22.24.0/24,54181
176.65.134.0/24,53625
129.82.138.0/24,53412
193.3.53.0/24,52315
69.63.184.0/24,48441
23.94.28.0/24,48345
45.135.194.0/24,48025
141.98.11.0/24,47454
194.180.49.0/24,45033
5.188.206.0/24,44848
206.168.32.0/24,44793
